drug,sentence,title,doi,in-vitro evidence
pralatrexate,"[' among the four selected fda - approved drug candidates ,  pralatrexate and azithromycin were confirmed to effectively inhibit sars - cov - 2 replication in vitro with ec50 values of 0.', ' for the first time ,  our study discovered that pralatrexate is able to potently inhibit sars - cov - 2 replication with a stronger inhibitory activity than remdesivir within the same experimental conditions.']",FDA-approved Pralatrexate and Azithromycin identified by virtual drug screening inhibit SARS-CoV-2 replication in vitro,10.21203/rs.3.rs-36439/v1,"[[' among the four selected fda - approved drug candidates ,  pralatrexate and azithromycin were confirmed to effectively inhibit sars - cov - 2 replication in vitro with ec50 values of 0.008um and 9.453 um ,  respectively.']]"
serotonin,"[' fluoxetine is a racemate consisting of both stereoisomers ,  while the s - form is the dominant serotonin reuptake inhibitor.']",The serotonin reuptake inhibitor Fluoxetine inhibits SARS-CoV-2,10.1101/2020.06.14.150490,"[['8ug ml significantly ,  and the ec50 was determined with 387ng ml.']]"
fluoxetine,"[' in these screenings ,  fluoxetine inhibited sars - cov - 2 at a concentration of 0.', ' fluoxetine is a racemate consisting of both stereoisomers ,  while the s - form is the dominant serotonin reuptake inhibitor.', ' fluoxetine treatment resulted in a decrease in viral protein expression.', ' furthermore ,  fluoxetine inhibited neither rabies virus ,  human respiratory syncytial virus replication nor the human herpesvirus 8 or herpes simplex virus type 1 gene expression ,  indicating that it acts virus - specific.', ' we see the role of fluoxetine in the early treatment of sars - cov - 2 infected patients of risk groups.']",The serotonin reuptake inhibitor Fluoxetine inhibits SARS-CoV-2,10.1101/2020.06.14.150490,"[['8ug ml significantly ,  and the ec50 was determined with 387ng ml.']]"
serine,"[' the aim of this study was to investigate the molecular interactions between monoterpenoids and spike protein of 2019 - ncov together with the cellular proteases [transmembrane serine protease 2 ( tmprss2 )  ,  cathepsin b ( catb )  ,  and cathepsin l ( catl ) ].']","Interaction of certain monoterpenoid hydrocarbons with the receptor-binding domain of 2019 novel coronavirus (2019-nCoV), transmembrane serine protease 2 (TMPRSS2), cathepsin B, and cathepsin L (CatB/L) and their pharmacokinetic properties",10.3906/biy-2005-46,"[[' as a result of the relative binding capacity index ( rbci )  analysis ,  carvone was found to be the most effective molecule against all targets when binding energy and predicted ( theoretical )  ic50 data were evaluated together.']]"
camostat,"[' compared to the inhibitor camostat mesylate ( 26000 ng ml )  ,  it is 270 times more potent.']","Metadichol ® a novel nano lipid formulation that inhibits In Vitro, SARS-COV-2 and a multitude of pathological viruses",10.21203/rs.3.rs-34021/v1,"[['\xa0< p><p>\xa0metadichol® ,  a nano lipid formulation of long - chain alcohols ,  has been shown to inhibit tmprss2 ( ec50 of 96 ng ml ) .']]"
serine,[' sars - cov - 2 uses the receptor ace2 for entry and the serine protease tmprss2 for s protein priming.'],"Metadichol ® a novel nano lipid formulation that inhibits In Vitro, SARS-COV-2 and a multitude of pathological viruses",10.21203/rs.3.rs-34021/v1,"[['\xa0< p><p>\xa0metadichol® ,  a nano lipid formulation of long - chain alcohols ,  has been shown to inhibit tmprss2 ( ec50 of 96 ng ml ) .']]"
baicalin,"['< p><p><strong>results: < strong>six phytochemicals: baicalin ,  rutin ,  biopterin ,  licoleafol ,  luteolin and quercetin shows stable bonding pattern with the target in compare to known inhibitors as it shows least score in docking ,  forms maximum number of hydrogen bonds with the active residues of the receptor.']",Search for therapeutics against COVID 19 targeting SARS-CoV-2 papain-like protease: an in silico study,10.21203/rs.3.rs-33294/v1,"[[' the predicted ic50 values of the phytochemicals are also better than the known inhibitors.', '< p><p><strong>conclusion: < strong>based on present observation of docking score of both phytochemicals and known inhibitors ,  ic50 value of known inhibitors and predicted ic50 of phytochemicals ,  we suggests above mentioned six phytochemicals may be the papain - like protease ( plpro )  targeted\xa0potent drug leads against covid - 19.']]"
rutin,"['< p><p><strong>results: < strong>six phytochemicals: baicalin ,  rutin ,  biopterin ,  licoleafol ,  luteolin and quercetin shows stable bonding pattern with the target in compare to known inhibitors as it shows least score in docking ,  forms maximum number of hydrogen bonds with the active residues of the receptor.']",Search for therapeutics against COVID 19 targeting SARS-CoV-2 papain-like protease: an in silico study,10.21203/rs.3.rs-33294/v1,"[[' the predicted ic50 values of the phytochemicals are also better than the known inhibitors.', '< p><p><strong>conclusion: < strong>based on present observation of docking score of both phytochemicals and known inhibitors ,  ic50 value of known inhibitors and predicted ic50 of phytochemicals ,  we suggests above mentioned six phytochemicals may be the papain - like protease ( plpro )  targeted\xa0potent drug leads against covid - 19.']]"
cysteine,[' papain - like protease ( plpro )  of sars cov - 2 is an important target of covid - 19 because it is a multifunctional cysteine protease essential for coronaviral replication.'],Search for therapeutics against COVID 19 targeting SARS-CoV-2 papain-like protease: an in silico study,10.21203/rs.3.rs-33294/v1,"[[' the predicted ic50 values of the phytochemicals are also better than the known inhibitors.', '< p><p><strong>conclusion: < strong>based on present observation of docking score of both phytochemicals and known inhibitors ,  ic50 value of known inhibitors and predicted ic50 of phytochemicals ,  we suggests above mentioned six phytochemicals may be the papain - like protease ( plpro )  targeted\xa0potent drug leads against covid - 19.']]"
quercetin,"['< p><p><strong>results: < strong>six phytochemicals: baicalin ,  rutin ,  biopterin ,  licoleafol ,  luteolin and quercetin shows stable bonding pattern with the target in compare to known inhibitors as it shows least score in docking ,  forms maximum number of hydrogen bonds with the active residues of the receptor.']",Search for therapeutics against COVID 19 targeting SARS-CoV-2 papain-like protease: an in silico study,10.21203/rs.3.rs-33294/v1,"[[' the predicted ic50 values of the phytochemicals are also better than the known inhibitors.', '< p><p><strong>conclusion: < strong>based on present observation of docking score of both phytochemicals and known inhibitors ,  ic50 value of known inhibitors and predicted ic50 of phytochemicals ,  we suggests above mentioned six phytochemicals may be the papain - like protease ( plpro )  targeted\xa0potent drug leads against covid - 19.']]"
biopterin,"['< p><p><strong>results: < strong>six phytochemicals: baicalin ,  rutin ,  biopterin ,  licoleafol ,  luteolin and quercetin shows stable bonding pattern with the target in compare to known inhibitors as it shows least score in docking ,  forms maximum number of hydrogen bonds with the active residues of the receptor.']",Search for therapeutics against COVID 19 targeting SARS-CoV-2 papain-like protease: an in silico study,10.21203/rs.3.rs-33294/v1,"[[' the predicted ic50 values of the phytochemicals are also better than the known inhibitors.', '< p><p><strong>conclusion: < strong>based on present observation of docking score of both phytochemicals and known inhibitors ,  ic50 value of known inhibitors and predicted ic50 of phytochemicals ,  we suggests above mentioned six phytochemicals may be the papain - like protease ( plpro )  targeted\xa0potent drug leads against covid - 19.']]"
luteolin,"['< p><p><strong>results: < strong>six phytochemicals: baicalin ,  rutin ,  biopterin ,  licoleafol ,  luteolin and quercetin shows stable bonding pattern with the target in compare to known inhibitors as it shows least score in docking ,  forms maximum number of hydrogen bonds with the active residues of the receptor.']",Search for therapeutics against COVID 19 targeting SARS-CoV-2 papain-like protease: an in silico study,10.21203/rs.3.rs-33294/v1,"[[' the predicted ic50 values of the phytochemicals are also better than the known inhibitors.', '< p><p><strong>conclusion: < strong>based on present observation of docking score of both phytochemicals and known inhibitors ,  ic50 value of known inhibitors and predicted ic50 of phytochemicals ,  we suggests above mentioned six phytochemicals may be the papain - like protease ( plpro )  targeted\xa0potent drug leads against covid - 19.']]"
hydrogen,"['< p><p><strong>results: < strong>six phytochemicals: baicalin ,  rutin ,  biopterin ,  licoleafol ,  luteolin and quercetin shows stable bonding pattern with the target in compare to known inhibitors as it shows least score in docking ,  forms maximum number of hydrogen bonds with the active residues of the receptor.']",Search for therapeutics against COVID 19 targeting SARS-CoV-2 papain-like protease: an in silico study,10.21203/rs.3.rs-33294/v1,"[[' the predicted ic50 values of the phytochemicals are also better than the known inhibitors.', '< p><p><strong>conclusion: < strong>based on present observation of docking score of both phytochemicals and known inhibitors ,  ic50 value of known inhibitors and predicted ic50 of phytochemicals ,  we suggests above mentioned six phytochemicals may be the papain - like protease ( plpro )  targeted\xa0potent drug leads against covid - 19.']]"
papain,"[' papain - like protease ( plpro )  of sars cov - 2 is an important target of covid - 19 because it is a multifunctional cysteine protease essential for coronaviral replication.', ' reported inhibitors of the papain - like protease are taken as control and for qsar study.', ' inhibitors of the papain - like protease were taken from binding database and qsar analysis was performed by using easyqsar software.', '< p><p><strong>conclusion: < strong>based on present observation of docking score of both phytochemicals and known inhibitors ,  ic50 value of known inhibitors and predicted ic50 of phytochemicals ,  we suggests above mentioned six phytochemicals may be the papain - like protease ( plpro )  targeted\xa0potent drug leads against covid - 19.']",Search for therapeutics against COVID 19 targeting SARS-CoV-2 papain-like protease: an in silico study,10.21203/rs.3.rs-33294/v1,"[[' the predicted ic50 values of the phytochemicals are also better than the known inhibitors.', '< p><p><strong>conclusion: < strong>based on present observation of docking score of both phytochemicals and known inhibitors ,  ic50 value of known inhibitors and predicted ic50 of phytochemicals ,  we suggests above mentioned six phytochemicals may be the papain - like protease ( plpro )  targeted\xa0potent drug leads against covid - 19.']]"
vortioxetine,"[' four compounds ,  clomiphene ( citrate )  ,  vortioxetine ,  vortioxetine ( hydrobromide )  and asenapine ( hydrochloride )  ,  showed potent inhibitory effects in both pseudovirus and authentic virus assay.', ' the combination of clomiphene ( citrate )  ,  vortioxetine and asenapine ( hydrochloride )  is much more potent than used alone ,  with ic50 of 0.']",Several FDA-approved drugs effectively inhibit SARS-CoV-2 infection in vitro,10.1101/2020.06.05.135996,"[[' the combination of clomiphene ( citrate )  ,  vortioxetine and asenapine ( hydrochloride )  is much more potent than used alone ,  with ic50 of 0.34 μm.']]"
clomiphene,"[' four compounds ,  clomiphene ( citrate )  ,  vortioxetine ,  vortioxetine ( hydrobromide )  and asenapine ( hydrochloride )  ,  showed potent inhibitory effects in both pseudovirus and authentic virus assay.', ' the combination of clomiphene ( citrate )  ,  vortioxetine and asenapine ( hydrochloride )  is much more potent than used alone ,  with ic50 of 0.']",Several FDA-approved drugs effectively inhibit SARS-CoV-2 infection in vitro,10.1101/2020.06.05.135996,"[[' the combination of clomiphene ( citrate )  ,  vortioxetine and asenapine ( hydrochloride )  is much more potent than used alone ,  with ic50 of 0.34 μm.']]"
asenapine,"[' four compounds ,  clomiphene ( citrate )  ,  vortioxetine ,  vortioxetine ( hydrobromide )  and asenapine ( hydrochloride )  ,  showed potent inhibitory effects in both pseudovirus and authentic virus assay.', ' the combination of clomiphene ( citrate )  ,  vortioxetine and asenapine ( hydrochloride )  is much more potent than used alone ,  with ic50 of 0.']",Several FDA-approved drugs effectively inhibit SARS-CoV-2 infection in vitro,10.1101/2020.06.05.135996,"[[' the combination of clomiphene ( citrate )  ,  vortioxetine and asenapine ( hydrochloride )  is much more potent than used alone ,  with ic50 of 0.34 μm.']]"
ribavirin,"[' it has been shown that the test substance exhibits high antiviral activity against the influenza a virus h1n1 california  07 2009 with effective concentration of ec50 0 , 6 μg ml and the selectivity index si > 170 ( for ribavirin si > 160 and amizona si > 2 , 1 ) .']","Synthesis and antiviral activity of 4,6-bis-ethylamino[1,3,5]triazine derivatives for Flu A (H1N1) virus California/07/2009",10.33250/14.02.106,"[[' it has been shown that the test substance exhibits high antiviral activity against the influenza a virus h1n1 california  07 2009 with effective concentration of ec50 0 , 6 μg ml and the selectivity index si > 170 ( for ribavirin si > 160 and amizona si > 2 , 1 ) .']]"
acetamide,"[' the aim of research is to synthesize the derivatives of ( 4 , 6 - bis - amino[1 , 3 , 5]triazin - 2 - yl - sulphanyl )  - naryl - acetamide and to study the antiviral activity for flua ( h1n1 )  virus california 07 2009 at primary pharmacological screening stage.', ' the investigated compounds – ( 4 , 6 - bis - amino[1 , 3 , 5]triazin - 2 - yl - sulphanyl )  - n - aryl - acetamide derivatives ,  were synthesized on the basis of 4 , 6 - bis - ethylamino[1 ,  3 , 5]triazin - 2 - tiol.', ' the antiviral activity of ( 4 , 6 - bis - amino[1 , 3 , 5]triazin - 2 - yl - sulphanyl )  - n - ( 2 , 4 , 6 - trichlorphenyl )  - acetamide against the virus flua ( h1n1 )  california 07 2009 was evaluated on mdck cell culture test in vitro.', ' the data obtained substantiate the expediency of further study of derivatives of ( 4 , 6 - diamino[1 , 3 , 5] triazine - 2 - yl - sulphanyl )  - n - aryl - acetamide as potential antiviral agents.']","Synthesis and antiviral activity of 4,6-bis-ethylamino[1,3,5]triazine derivatives for Flu A (H1N1) virus California/07/2009",10.33250/14.02.106,"[[' it has been shown that the test substance exhibits high antiviral activity against the influenza a virus h1n1 california  07 2009 with effective concentration of ec50 0 , 6 μg ml and the selectivity index si > 170 ( for ribavirin si > 160 and amizona si > 2 , 1 ) .']]"
auranofin,"[' herein ,  we report that the clinical approved auranofin could perfectly inhibit the activity of 3 - chymotrypsin - like cysteine protease ( mpro or 3clpro )  of sars - cov - 2.', ' for mpro inhibition ,  ic50 of auranofin ,  vitamin k3 ,  phenyl isothiocyanate ,  gold cluster are about 0.', ' especially for fda approved auranofin ,  it is an anti - inflammation drug in clinic ,  thus it may with strong potential to inhibit virus replication and suppress the inflammation damage in covid - 19 patients.']",Molecules inhibit the enzyme activity of 3-chymotrypsin-like cysteine protease of SARS-CoV-2 virus: the experimental and theory studies,10.1101/2020.05.28.120642,"[[' for mpro inhibition ,  ic50 of auranofin ,  vitamin k3 ,  phenyl isothiocyanate ,  gold cluster are about 0.51μm ,  7.96μm ,  10.13μm ,  1.61μm ,  respectively.']]"
cysteine,"[' herein ,  we report that the clinical approved auranofin could perfectly inhibit the activity of 3 - chymotrypsin - like cysteine protease ( mpro or 3clpro )  of sars - cov - 2.']",Molecules inhibit the enzyme activity of 3-chymotrypsin-like cysteine protease of SARS-CoV-2 virus: the experimental and theory studies,10.1101/2020.05.28.120642,"[[' for mpro inhibition ,  ic50 of auranofin ,  vitamin k3 ,  phenyl isothiocyanate ,  gold cluster are about 0.51μm ,  7.96μm ,  10.13μm ,  1.61μm ,  respectively.']]"
chymotrypsin,"[' herein ,  we report that the clinical approved auranofin could perfectly inhibit the activity of 3 - chymotrypsin - like cysteine protease ( mpro or 3clpro )  of sars - cov - 2.']",Molecules inhibit the enzyme activity of 3-chymotrypsin-like cysteine protease of SARS-CoV-2 virus: the experimental and theory studies,10.1101/2020.05.28.120642,"[[' for mpro inhibition ,  ic50 of auranofin ,  vitamin k3 ,  phenyl isothiocyanate ,  gold cluster are about 0.51μm ,  7.96μm ,  10.13μm ,  1.61μm ,  respectively.']]"
cobicistat,"[' methods: prezcobix rezolsta is a fixed - dose combination of 800 mg of the hiv protease inhibitor darunavir ( drv )  and 150 mg cobicistat ,  a cyp3a4 inhibitor ,  which is indicated in combination with other antiretroviral agents for the treatment of hiv infection.', ' there are currently no definitive data on the safety and efficacy of drv cobicistat for the treatment of covid - 19.']",Lack of Antiviral Activity of Darunavir against SARS-CoV-2,10.1016/j.ijid.2020.05.085,"[[' results: drv showed no antiviral activity against sars - cov - 2 at clinically relevant concentrations ( ec50 > 100 μm ) .', ' remdesivir ,  used as a positive control ,  demonstrated potent antiviral activity ( ec50 = 0.38 μm ) .']]"
darunavir,"[' methods: prezcobix rezolsta is a fixed - dose combination of 800 mg of the hiv protease inhibitor darunavir ( drv )  and 150 mg cobicistat ,  a cyp3a4 inhibitor ,  which is indicated in combination with other antiretroviral agents for the treatment of hiv infection.', ' the in vitro antiviral activity of darunavir against a clinical isolate from a patient infected with sars - cov - 2 was assessed.']",Lack of Antiviral Activity of Darunavir against SARS-CoV-2,10.1016/j.ijid.2020.05.085,"[[' results: drv showed no antiviral activity against sars - cov - 2 at clinically relevant concentrations ( ec50 > 100 μm ) .', ' remdesivir ,  used as a positive control ,  demonstrated potent antiviral activity ( ec50 = 0.38 μm ) .']]"
remdesivir,"[' remdesivir ,  used as a positive control ,  demonstrated potent antiviral activity ( ec50 = 0.']",Lack of Antiviral Activity of Darunavir against SARS-CoV-2,10.1016/j.ijid.2020.05.085,"[[' results: drv showed no antiviral activity against sars - cov - 2 at clinically relevant concentrations ( ec50 > 100 μm ) .', ' remdesivir ,  used as a positive control ,  demonstrated potent antiviral activity ( ec50 = 0.38 μm ) .']]"
remdesivir,"[' background: remdesivir is a prodrug of the nucleoside analogue gs - 441524 and is under evaluation for treatment of sars - cov - 2 - infected patients.', ' objectives: to evaluate the pharmacokinetics of remdesivir and gs - 441524 in plasma ,  bronchoalveolar aspirate ( bas )  and csf in two critically ill covid - 19 patients.', ' methods: remdesivir was administered at 200\u2009mg loading dose on the first day followed by 12\u2009days of 100\u2009mg in two critically ill patients.', ' remdesivir and gs - 441524 concentrations were measured in these samples using a validated uhplc - ms ms method.', ' results: we observed higher concentrations of remdesivir at c0 ( 6 -  to 7 - fold higher than ec50 from in vitro studies )  and a notable decay at c1.', ' conclusions: we report the first pharmacokinetic evaluation of remdesivir and gs - 441524 in recovered covid - 19 patients.', ' further study of the pharmacokinetic profile of remdesivir ,  gs - 441524 and the intracellular triphosphate form are required.']",Pharmacokinetics of remdesivir and GS-441524 in two critically ill patients who recovered from COVID-19,10.1093/jac/dkaa239,[[' results: we observed higher concentrations of remdesivir at c0 ( 6 -  to 7 - fold higher than ec50 from in vitro studies )  and a notable decay at c1.']]
chloroquine,"[' they are all old drugs as follows ,  anisomycin ,  antimycin a ,  atovaquone ,  chloroquine ,  conivaptan ,  emetine ,  gemcitabine ,  homoharringtonine ,  niclosamide ,  nitazoxanide ,  oligomycin ,  salinomycin ,  tilorone ,  valinomycin ,  and vismodegib.']",Repurposing old drugs as antiviral agents for coronaviruses,10.1016/j.bj.2020.05.003,"[[' the concentrations ( ec50 )  of each drug necessary to diminish viral activity to 50% of that for the untreated controls were determined.', ' results: fifteen out of the 252 drugs or pharmacologically active compounds screened were found to be active against both fipv and hcov - oc43 ,  with ec50 values ranging from 11\xa0nm to 75\xa0μm.']]"
salinomycin,"[' they are all old drugs as follows ,  anisomycin ,  antimycin a ,  atovaquone ,  chloroquine ,  conivaptan ,  emetine ,  gemcitabine ,  homoharringtonine ,  niclosamide ,  nitazoxanide ,  oligomycin ,  salinomycin ,  tilorone ,  valinomycin ,  and vismodegib.']",Repurposing old drugs as antiviral agents for coronaviruses,10.1016/j.bj.2020.05.003,"[[' the concentrations ( ec50 )  of each drug necessary to diminish viral activity to 50% of that for the untreated controls were determined.', ' results: fifteen out of the 252 drugs or pharmacologically active compounds screened were found to be active against both fipv and hcov - oc43 ,  with ec50 values ranging from 11\xa0nm to 75\xa0μm.']]"
anisomycin,"[' they are all old drugs as follows ,  anisomycin ,  antimycin a ,  atovaquone ,  chloroquine ,  conivaptan ,  emetine ,  gemcitabine ,  homoharringtonine ,  niclosamide ,  nitazoxanide ,  oligomycin ,  salinomycin ,  tilorone ,  valinomycin ,  and vismodegib.']",Repurposing old drugs as antiviral agents for coronaviruses,10.1016/j.bj.2020.05.003,"[[' the concentrations ( ec50 )  of each drug necessary to diminish viral activity to 50% of that for the untreated controls were determined.', ' results: fifteen out of the 252 drugs or pharmacologically active compounds screened were found to be active against both fipv and hcov - oc43 ,  with ec50 values ranging from 11\xa0nm to 75\xa0μm.']]"
homoharringtonine,"[' they are all old drugs as follows ,  anisomycin ,  antimycin a ,  atovaquone ,  chloroquine ,  conivaptan ,  emetine ,  gemcitabine ,  homoharringtonine ,  niclosamide ,  nitazoxanide ,  oligomycin ,  salinomycin ,  tilorone ,  valinomycin ,  and vismodegib.']",Repurposing old drugs as antiviral agents for coronaviruses,10.1016/j.bj.2020.05.003,"[[' the concentrations ( ec50 )  of each drug necessary to diminish viral activity to 50% of that for the untreated controls were determined.', ' results: fifteen out of the 252 drugs or pharmacologically active compounds screened were found to be active against both fipv and hcov - oc43 ,  with ec50 values ranging from 11\xa0nm to 75\xa0μm.']]"
niclosamide,"[' they are all old drugs as follows ,  anisomycin ,  antimycin a ,  atovaquone ,  chloroquine ,  conivaptan ,  emetine ,  gemcitabine ,  homoharringtonine ,  niclosamide ,  nitazoxanide ,  oligomycin ,  salinomycin ,  tilorone ,  valinomycin ,  and vismodegib.']",Repurposing old drugs as antiviral agents for coronaviruses,10.1016/j.bj.2020.05.003,"[[' the concentrations ( ec50 )  of each drug necessary to diminish viral activity to 50% of that for the untreated controls were determined.', ' results: fifteen out of the 252 drugs or pharmacologically active compounds screened were found to be active against both fipv and hcov - oc43 ,  with ec50 values ranging from 11\xa0nm to 75\xa0μm.']]"
atovaquone,"[' they are all old drugs as follows ,  anisomycin ,  antimycin a ,  atovaquone ,  chloroquine ,  conivaptan ,  emetine ,  gemcitabine ,  homoharringtonine ,  niclosamide ,  nitazoxanide ,  oligomycin ,  salinomycin ,  tilorone ,  valinomycin ,  and vismodegib.']",Repurposing old drugs as antiviral agents for coronaviruses,10.1016/j.bj.2020.05.003,"[[' the concentrations ( ec50 )  of each drug necessary to diminish viral activity to 50% of that for the untreated controls were determined.', ' results: fifteen out of the 252 drugs or pharmacologically active compounds screened were found to be active against both fipv and hcov - oc43 ,  with ec50 values ranging from 11\xa0nm to 75\xa0μm.']]"
valinomycin,"[' they are all old drugs as follows ,  anisomycin ,  antimycin a ,  atovaquone ,  chloroquine ,  conivaptan ,  emetine ,  gemcitabine ,  homoharringtonine ,  niclosamide ,  nitazoxanide ,  oligomycin ,  salinomycin ,  tilorone ,  valinomycin ,  and vismodegib.']",Repurposing old drugs as antiviral agents for coronaviruses,10.1016/j.bj.2020.05.003,"[[' the concentrations ( ec50 )  of each drug necessary to diminish viral activity to 50% of that for the untreated controls were determined.', ' results: fifteen out of the 252 drugs or pharmacologically active compounds screened were found to be active against both fipv and hcov - oc43 ,  with ec50 values ranging from 11\xa0nm to 75\xa0μm.']]"
conivaptan,"[' they are all old drugs as follows ,  anisomycin ,  antimycin a ,  atovaquone ,  chloroquine ,  conivaptan ,  emetine ,  gemcitabine ,  homoharringtonine ,  niclosamide ,  nitazoxanide ,  oligomycin ,  salinomycin ,  tilorone ,  valinomycin ,  and vismodegib.']",Repurposing old drugs as antiviral agents for coronaviruses,10.1016/j.bj.2020.05.003,"[[' the concentrations ( ec50 )  of each drug necessary to diminish viral activity to 50% of that for the untreated controls were determined.', ' results: fifteen out of the 252 drugs or pharmacologically active compounds screened were found to be active against both fipv and hcov - oc43 ,  with ec50 values ranging from 11\xa0nm to 75\xa0μm.']]"
gemcitabine,"[' they are all old drugs as follows ,  anisomycin ,  antimycin a ,  atovaquone ,  chloroquine ,  conivaptan ,  emetine ,  gemcitabine ,  homoharringtonine ,  niclosamide ,  nitazoxanide ,  oligomycin ,  salinomycin ,  tilorone ,  valinomycin ,  and vismodegib.']",Repurposing old drugs as antiviral agents for coronaviruses,10.1016/j.bj.2020.05.003,"[[' the concentrations ( ec50 )  of each drug necessary to diminish viral activity to 50% of that for the untreated controls were determined.', ' results: fifteen out of the 252 drugs or pharmacologically active compounds screened were found to be active against both fipv and hcov - oc43 ,  with ec50 values ranging from 11\xa0nm to 75\xa0μm.']]"
nitazoxanide,"[' they are all old drugs as follows ,  anisomycin ,  antimycin a ,  atovaquone ,  chloroquine ,  conivaptan ,  emetine ,  gemcitabine ,  homoharringtonine ,  niclosamide ,  nitazoxanide ,  oligomycin ,  salinomycin ,  tilorone ,  valinomycin ,  and vismodegib.']",Repurposing old drugs as antiviral agents for coronaviruses,10.1016/j.bj.2020.05.003,"[[' the concentrations ( ec50 )  of each drug necessary to diminish viral activity to 50% of that for the untreated controls were determined.', ' results: fifteen out of the 252 drugs or pharmacologically active compounds screened were found to be active against both fipv and hcov - oc43 ,  with ec50 values ranging from 11\xa0nm to 75\xa0μm.']]"
emetine,"[' they are all old drugs as follows ,  anisomycin ,  antimycin a ,  atovaquone ,  chloroquine ,  conivaptan ,  emetine ,  gemcitabine ,  homoharringtonine ,  niclosamide ,  nitazoxanide ,  oligomycin ,  salinomycin ,  tilorone ,  valinomycin ,  and vismodegib.']",Repurposing old drugs as antiviral agents for coronaviruses,10.1016/j.bj.2020.05.003,"[[' the concentrations ( ec50 )  of each drug necessary to diminish viral activity to 50% of that for the untreated controls were determined.', ' results: fifteen out of the 252 drugs or pharmacologically active compounds screened were found to be active against both fipv and hcov - oc43 ,  with ec50 values ranging from 11\xa0nm to 75\xa0μm.']]"
hydroxychloroquine,"[' translation of in vitro antiviral activity to the in vivo setting is crucial to identify potentially effective dosing regimens of hydroxychloroquine.', ' in vitro ec50 ec90 values for hydroxychloroquine should be compared to the in vivo free extracellular tissue concentration ,  which is similar to the free plasma hydroxychloroquine concentration.']",Connecting hydroxychloroquine in vitro antiviral activity to in vivo concentration for prediction of antiviral effect: a critical step in treating COVID-19 patients,10.1093/cid/ciaa623,"[[' in vitro ec50 ec90 values for hydroxychloroquine should be compared to the in vivo free extracellular tissue concentration ,  which is similar to the free plasma hydroxychloroquine concentration.']]"
nicotianamine,"[' secondary plant metabolites such as polyphenols ( flavonoids ,  coumarins ,  stilbenes )  ,  alkaloids ,  terpenoids ,  organosulfur compounds saponins ,  saikosaponins ,  lectins ,  essential oils ,  nicotianamine and primary metabolites such as vitamins.']",A Comprehensive Review on the Effect of Plant Metabolites on Coronaviruses: Focusing on Their Molecular Docking Score and IC50 Values,10.20944/preprints202005.0295.v1,[[' ic50 value ( the concentration in which there is 50% loss in enzyme activity )  and molecular docking score and binding energy are parameters to understand the metabolites ability to inhibit the specific virus.']]
adenosine,"[' we report that remdesivir ( rdv )  ,  a monophosphoramidate prodrug of an adenosine analog ,  potently inhibits sars - cov - 2 replication in human lung cells and primary human airway epithelial cultures ( ec50 = 0.']",Remdesivir Potently Inhibits SARS-CoV-2 in Human Lung Cells and Chimeric SARS-CoV Expressing the SARS-CoV-2 RNA Polymerase in Mice,10.2139/ssrn.3588829,"[[' we report that remdesivir ( rdv )  ,  a monophosphoramidate prodrug of an adenosine analog ,  potently inhibits sars - cov - 2 replication in human lung cells and primary human airway epithelial cultures ( ec50 = 0.01 um ) .', ' weaker activity was observed in vero e6 cells ( ec50 = 1.65 um )  due to their low capacity to metabolize rdv.']]"
remdesivir,"[' we report that remdesivir ( rdv )  ,  a monophosphoramidate prodrug of an adenosine analog ,  potently inhibits sars - cov - 2 replication in human lung cells and primary human airway epithelial cultures ( ec50 = 0.']",Remdesivir Potently Inhibits SARS-CoV-2 in Human Lung Cells and Chimeric SARS-CoV Expressing the SARS-CoV-2 RNA Polymerase in Mice,10.2139/ssrn.3588829,"[[' we report that remdesivir ( rdv )  ,  a monophosphoramidate prodrug of an adenosine analog ,  potently inhibits sars - cov - 2 replication in human lung cells and primary human airway epithelial cultures ( ec50 = 0.01 um ) .', ' weaker activity was observed in vero e6 cells ( ec50 = 1.65 um )  due to their low capacity to metabolize rdv.']]"
chlorpromazine,"[' chlorpromazine ( cpz )  ,  the prototype of typical antipsychotics from the phenothiazine group ,  is known to inhibit clathrin - mediated endocytosis and acts as an antiviral ,  in particular against sars - cov - 1 and mers - cov.']",Inhibition of the replication of SARS-CoV-2 in human cells by the FDA-approved drug chlorpromazine,10.1101/2020.05.05.079608,"[[' we evidenced an antiviral activity against sars - cov - 2 with an ic50 of ∼10μm.', ' because of its high biodistribution in lung ,  saliva and brain ,  such ic50 measured in vitro may translate to cpz dosage used in clinical routine.']]"
phenothiazine,"[' chlorpromazine ( cpz )  ,  the prototype of typical antipsychotics from the phenothiazine group ,  is known to inhibit clathrin - mediated endocytosis and acts as an antiviral ,  in particular against sars - cov - 1 and mers - cov.']",Inhibition of the replication of SARS-CoV-2 in human cells by the FDA-approved drug chlorpromazine,10.1101/2020.05.05.079608,"[[' we evidenced an antiviral activity against sars - cov - 2 with an ic50 of ∼10μm.', ' because of its high biodistribution in lung ,  saliva and brain ,  such ic50 measured in vitro may translate to cpz dosage used in clinical routine.']]"
licorice,[' liquiritin is abundant in licorice tablet ( ~0.'],An artificial intelligence system reveals liquiritin inhibits SARS-CoV-2 by mimicking type I interferon,10.1101/2020.05.02.074021,[[' we found liquiritin significantly inhibit replication of sars - cov - 2 in vero e6 cells with ec50 = 2.39 μm.']]
