Drug Name,MOA,Experiments,Method,Measurement,Value,Unit
Flupirtine maleate,NMDA Receptor Antagonists;Signal Transduction Modulators;Voltage-Gated K(V) 7 (KCNQ) Channel Activators,Not Applicable,,pEC-30,5.13E+00, 
Capsaicin,TRPV1 (Vanilloid VR1 Receptor) Agonists;Tumor NADH Oxidase (tNOX) Inhibitors;NF-kappaB (NFKB) Activation Inhibitors;Signal Transduction Modulators;Quinolone resistance protein NorA (Staphylococcus aureus) Inhibitors,"K(ATP) Channel (nonspecified subtype) blockade, IN VITRO",,pIC-50,5.20E+00, 
L-Arginine hydrochloride,,"alpha-1 Adrenergic Receptors (nonspecified subtype) antagonism, IN VITRO",,pIC-50,5.22E+00, 
GMC-2021,5-HT1D Receptor Agonists;Signal Transduction Modulators,"K(ATP) Channel (nonspecified subtype) blockade, IN VITRO",,pIC-50,5.45E+00, 
R-phenylisopropyladenosine,Signal Transduction Modulators;Adenosine A1 Receptor Agonists,"Adenosine A2A Receptor affinity, IN VITRO",Displacement of [3H]-CPX,pKi,5.48E+00, 
Retigabine,Voltage-Gated K(V) 7.2/7.3 (KCNQ2/3) Channel Activators;Voltage-Gated K(V) 7.2 (KCNQ2) Channel Activators;Voltage-Gated K(V) 7.3 (KCNQ3) Channel Activators;GABA Aminotransferase Inhibitors,Not Applicable,,pEC-30,5.51E+00, 
N6-Cyclopentyladenosine,Signal Transduction Modulators;Adenosine A1 Receptor Agonists,"Prostanoid TP Receptor (Thromboxane A2 receptor; TXA2-R) (nonspecified subtype) antagonism, IN VITRO",,pIC-50,5.63E+00, 
AM-630,Cannabinoid CB1 Receptor Inverse Agonists;Signal Transduction Modulators;Cannabinoid CB2 Receptor Antagonists;Cannabinoid CB2 Receptor Inverse Agonists,"Cannabinoid Receptor (nonspecified subtype) antagonism, IN VITRO",,pIC-50,5.72E+00, 
Sirolimus,CCR5 Expression Inhibitors;Signal Transduction Modulators;Proteasome Inhibitors;Mammalian Target of Rapamycin (mTOR; FRAP1) Inhibitors;Drugs Targeting B-Lymphocyte Antigen CD19,"alpha-1 Adrenergic Receptors (nonspecified subtype) antagonism, IN VITRO",,pA-2,5.74E+00, 
Piclidenoson,Signal Transduction Modulators;Adenosine A3 Receptor Agonists,"Prostanoid TP Receptor (Thromboxane A2 receptor; TXA2-R) (nonspecified subtype) antagonism, IN VITRO",,pIC-50,5.93E+00, 
Calcimycin,,"alpha-1 Adrenergic Receptors (nonspecified subtype) antagonism, IN VITRO",,pIC-50,6.03E+00, 
CVT-2995,Signal Transduction Modulators;Adenosine A2A Receptor Agonists,"Adenosine A1 Receptor affinity, IN VITRO",Displacement of [3H]-CPX,pKi,6.07E+00, 
Sumatriptan succinate,5-HT1D Receptor Agonists;5-HT1B Receptor Agonists;Solute Carrier Family 22 Member 3 (SLC22A3; OCT3) Inhibitors;Signal Transduction Modulators,"5-Hydroxytryptamine Receptor 1D (5-HT1D) agonism, IN VITRO",,pEC-50,6.18E+00, 
Acetylcholine chloride,Signal Transduction Modulators;Prostanoid EP1 Receptor Agonists;Muscarinic M1 Receptor Antagonists;Muscarinic M1 Receptor Agonists,"5-Hydroxytryptamine Receptor 1D (5-HT1D) antagonism, IN VITRO",,pIC-50,6.20E+00, 
Phenylephrine hydrochloride,alpha1A-Adrenoceptor Ligands;Histamine H1 Receptor Antagonists;Signal Transduction Modulators;alpha1-Adrenoceptor Agonists,"alpha-1 Adrenergic Receptors (nonspecified subtype) agonism, IN VITRO",,pEC-50,6.20E+00, 
Cyproheptadine hydrochloride,Histamine H1 Receptor Antagonists;5-HT2B Receptor Antagonists;Signal Transduction Modulators,"5-Hydroxytryptamine Receptor 2A (5-HT2A) antagonism, IN VITRO",,pIC-50,6.27E+00, 
CGP-48369,Type-1 Angiotensin II Receptor (AGTR1; AT1) Antagonists;Signal Transduction Modulators,"5-Hydroxytryptamine Receptor 1D (5-HT1D) antagonism, IN VITRO",,pIC-50,6.50E+00, 
Sufentanil citrate,Drugs Acting on Opioid and Opioid-Like Receptors;Signal Transduction Modulators,Not Applicable,,pEC-50,6.57E+00, 
Benazepril hydrochloride,Angiotensin-I Converting Enzyme (ACE) Inhibitors,"5-Hydroxytryptamine Receptor 1D (5-HT1D) antagonism, IN VITRO",,pIC-50,6.60E+00, 
Calcitonin gene related peptide,Signal Transduction Modulators;Calcitonin Gene-Related Peptides (CGRP) Receptor Ligands,"Prostaglandin F2-alpha Receptor (PGF2-alpha Receptor) antagonism, IN VITRO",,pIC-50,6.70E+00, 
Linsidomine,Nitric Oxide (NO) Donors,"5-Hydroxytryptamine Receptor 1D (5-HT1D) antagonism, IN VITRO",,pIC-50,6.70E+00, 
DAGO,Signal Transduction Modulators;mu-Opioid Receptor Agonists,"delta-Type Opioid Receptor (DOP) agonism, IN VITRO",,pIC-50,6.71E+00, 
Sphingosine 1-phosphate,Sphingosine 1-Phosphate Receptor 1 (S1PR1; EDG1) Ligands;Signal Transduction Modulators;Apoptosis Inhibitors,Not Applicable,,pEC-50,6.71E+00, 
Probenecid,Multidrug Resistance-Associated Protein 1 (MRP-1; ABCC1) Inhibitors;TRPV2 (Vanilloid VR2 Receptor) Agonists,Not Applicable,,pIC-50,6.87E+00, 
Apelin,Signal Transduction Modulators;RAC Serine/Threonine-Protein Kinase (AKT; PKB) Activators;Apelin Receptor (Angiotensin Receptor-Like 1; APJ) Agonists;Phosphatidylinositol 3-Kinase (PI3K) Activators,Not Applicable,,pA-2,6.90E+00, 
Benazeprilat,,"5-Hydroxytryptamine Receptor 1D (5-HT1D) antagonism, IN VITRO",,pIC-50,6.90E+00, 
Ritanserin,5-HT2A Receptor Antagonists;Signal Transduction Modulators;Diacylglycerol Kinase alpha (DGKA) Inhibitors,"5-Hydroxytryptamine Receptor 2A (5-HT2A) antagonism, IN VITRO",,pIC-50,6.99E+00, 
Ticagrelor,Signal Transduction Modulators;P2Y12 (P2T) Receptor Antagonists,"Equilibrative Nucleoside Transporter (ENT) (nonspecified subtype) inhibition, IN VITRO",,pIC-50,7.00E+00, 
W-146,Signal Transduction Modulators;Sphingosine 1-Phosphate Receptor 1 (S1PR1; EDG1) Antagonists,"Cannabinoid Receptor (nonspecified subtype) antagonism, IN VITRO",,pIC-50,7.04E+00, 
Mefloquine hydrochloride,Gap Junction delta-2 Protein (GJD2; Cx36) Blockers;Gap Junction alpha-8 Protein (GJA8; Cx50) Blockers;Signal Transduction Modulators;Pannexin-1 (PANX1; MRS1) Inhibitors;Adenosine A2A Receptor Antagonists,Not Applicable,,pIC-50,7.05E+00, 
Carbenoxolone sodium,11-beta-Hydroxysteroid Dehydrogenase Type 1 (11beta-HSD1) Inhibitors,Not Applicable,,pIC-50,7.12E+00, 
VPC-23019,Sphingosine 1-Phosphate Receptor 4 (S1PR4; EDG6) Agonists;Signal Transduction Modulators;Sphingosine 1-Phosphate Receptor 3 (S1PR3; EDG3) Antagonists;Sphingosine 1-Phosphate Receptor 1 (S1PR1; EDG1) Antagonists;Sphingosine 1-Phosphate Receptor 5 (S1PR5; EDG8) Partial Agonists,"Cannabinoid Receptor (nonspecified subtype) antagonism, IN VITRO",,pIC-50,7.18E+00, 
JTE-907,Signal Transduction Modulators;Cannabinoid CB2 Receptor Inverse Agonists,"Lysophospholipid (edg) Receptors (nonspecified subtype) antagonism, IN VITRO",,pIC-50,7.19E+00, 
Forskolin,Adenylate Cyclase Activators,Not Applicable,,pEC-30,7.24E+00, 
alphaCGRP(8-37),Signal Transduction Modulators;Calcitonin Gene-Related Peptide (CGRP) Receptor Antagonists,"Calcitonin Gene-Related Peptide Type 1 Receptor antagonism, IN VITRO",,pA-2,7.30E+00, 
Noradrenaline,alpha-Adrenoceptor Agonists;beta-Adrenoceptor Agonists;Signal Transduction Modulators,"alpha-1 Adrenergic Receptors (nonspecified subtype) agonism, IN VITRO",,pEC-50,7.33E+00, 
RO-1138452,Signal Transduction Modulators;Prostanoid IP Receptor Antagonists,"Cannabinoid Receptor (nonspecified subtype) antagonism, IN VITRO",,pIC-50,7.33E+00, 
XAC,Signal Transduction Modulators;Adenosine A2B Receptor Antagonists,"Adenosine Receptor (nonspecified subtype) antagonism, IN VITRO",,pIC-50,7.37E+00, 
Frovatriptan,5-HT1B Receptor Agonists;5-HT1D Receptor Agonists;Signal Transduction Modulators,"5-Hydroxytryptamine Receptor 1D (5-HT1D) agonism, IN VITRO",,pEC-50,7.38E+00, 
HU-210,Signal Transduction Modulators;Cannabinoid CB2 Receptor Agonists;Cannabinoid CB1 Receptor Agonists,Not Applicable,,pEC-50,7.40E+00, 
Przewaquinone A,,"Prostanoid TP Receptor (Thromboxane A2 receptor; TXA2-R) (nonspecified subtype) antagonism, IN VITRO",,pIC-50,7.40E+00, 
CGS-15943,Signal Transduction Modulators;Adenosine Receptor Antagonists,"Adenosine A2A Receptor antagonism, IN VITRO",,pIC-50,7.45E+00, 
JTE-013,Signal Transduction Modulators;Sphingosine 1-Phosphate Receptor 2 (S1PR2; EDG5) Antagonists,"Lysophospholipid (edg) Receptors (nonspecified subtype) antagonism, IN VITRO",,pIC-50,7.62E+00, 
4'-I-SR-141716A,Signal Transduction Modulators;Cannabinoid CB1 Receptor Inverse Agonists;ACAT Inhibitors,"Cannabinoid Receptor (nonspecified subtype) antagonism, IN VITRO",,pIC-50,7.73E+00, 
BMS-181885,5-HT1D Receptor Agonists;Signal Transduction Modulators;5-HT1D Receptor Antagonists,"5-Hydroxytryptamine Receptor 1D (5-HT1D) agonism, IN VITRO",,pEC-50,7.90E+00, 
Endothelin 1,,"5-Hydroxytryptamine Receptor 1D (5-HT1D) agonism, IN VITRO",,pEC-50,7.96E+00, 
GR-125743,Signal Transduction Modulators;5-HT1D Receptor Antagonists,"5-Hydroxytryptamine Receptor 1D (5-HT1D) antagonism, IN VITRO",,pKb,8.00E+00, 
2HE-NECA,Signal Transduction Modulators;Adenosine A2A Receptor Agonists,"Adenosine A2A Receptor affinity, IN VITRO",Displacement of [3H]-ZM-241385,pKi,8.10E+00, 
Donitriptan hydrochloride,5-HT1B Receptor Agonists;5-HT1D Receptor Agonists;Signal Transduction Modulators,"5-Hydroxytryptamine Receptor 1D (5-HT1D) agonism, IN VITRO",,pEC-50,8.25E+00, 
Tegaserod maleate,5-HT4 Receptor Partial Agonists;Signal Transduction Modulators,"5-Hydroxytryptamine Receptor (5-HT4) affinity, IN VITRO",Radioactivity assay,pKi,8.40E+00, 
AT-1015,5-HT2A Receptor Antagonists;Signal Transduction Modulators,"5-Hydroxytryptamine Receptor 2 (5-HT2) (nonspecified subtype) antagonism, IN VITRO",,pKb,8.61E+00, 
dl-Hyoscyamine,,"mu-Opioid (MOP) Receptor agonism, IN VITRO",,pIC-50,8.61E+00, 
Ketanserin,Signal Transduction Modulators;5-HT2 Receptor Antagonists,"5-Hydroxytryptamine Receptor 1D (5-HT1D) antagonism, IN VITRO",,pKb,8.70E+00, 
Serelaxin,Signal Transduction Modulators;Drugs Acting on Relaxin Receptors,Not Applicable,"Endothelial cells (coronary artery), human",pEC-50,9.30E+00, 
Brimonidine,,"delta-Type Opioid Receptor (DOP) agonism, IN VITRO",,pIC-50,9.49E+00, 
Olcegepant,Calcitonin Gene-Related Peptide (CGRP) Receptor Antagonists;Signal Transduction Modulators,"Calcitonin Gene-Related Peptide Type 1 Receptor antagonism, IN VITRO",,pA-2,1.01E+01, 
ODQ,Soluble Guanylyl Cyclase (sGC) Inhibitors;Potassium Channel Blockers,"K(ATP) Channel (nonspecified subtype) blockade, IN VITRO",,pIC-50,2.50E+01, 
